,CRM ID,Analysis Method,Ag,Al,Al2O3,As,Au,B,Ba,BaO,Be,BeO,Bi,C,C-(Carbonate),C-(Graphite),Ca,CaO,Cd,Ce,CeO2,Cl,Co,Cr,Cr2O3,Cs,Cu,Cu-Res(4A),Cu-Sol(CN),Cu-Sol(H2SO4),Cu-Tot(Calc),Dy,Dy2O3,Er,Er2O3,Eu,Eu2O3,F,Fe,Fe(Calc),Fe2+,Fe2O3,Fe3+,Fe3O4,FeO,Ga,Ga2O3,Gd,Gd2O3,Ge,H2O-,Hf,HfO2,Hg,Ho,Ho2O3,In,Ir,K,K2O,LOI1000,LOI300-1000,LOI371,LOI425,LOI650,La,La2O3,Li,Li2O,Lu,Lu2O3,MOI300,MassRec,Mg,MgO,Mn,MnO,Mo,Na,Na2O,Nb,Nb2O5,Nd,Nd2O3,Ni,NiO,Os,P,P2O5,Pb,PbO,Pd,Pr,Pr6O11,Pt,Rb,Re,Rh,Ru,S,S-(Sulphate),S-(Sulphide),SG,SO3,Sb,Sc,Se,Si,SiO2,Sm,Sm2O3,Sn,SnO2,Sr,SrO,Ta,Ta2O5,Tb,Tb4O7,Te,Th,ThO2,Ti,TiO2,Tl,Tm,Tm2O3,U,U3O8,V,V2O5,W,WO3,Y,Y2O3,Yb,Yb2O3,Zn,ZnO,Zr,ZrO2
10,AC18.13567,Various analytical methods,0.0,173731.0,0.0,0.0,0.0,0.0,7302.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5803.87,0.0,0.0,27889.0,0.0,0.0,0.0,3605.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.490876,0.0,0.0,40528.5,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4616.17,0.0,0.0,0.0,0.106154,0.0,0.0,0,45936.7,0.0,496.582,0.0,0.0,0.0,0.0,0.0,0.0,3072.41,0.0,3459.42,0.0,0.0,3548.02,0.0,0.0,0.0,1724.14,1401.41,0.0,442.858,15.5333,0.0,200.103,0.0,2582.83,0.0,0.0,0,0.0,0.0,0.0,0.0,170991.0,0.0,13.0202,0.0,0.0,0.0,1747.51,0.0,3.13287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159337,0.0,0.0,0.0,64.1845,0.0,85.9782,0.0,560.627,0.0,1.11049,0.0,2061.27,0.0,31321.9,0.0
11,OREAS 100a,4-Acid Digestion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0,0.0,0.0,17.5,0.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,18.9,0.0,11.6,0.0,3.7,0.0,0.0,45100.0,0,0,0.0,0,0.0,0.0,0.0,0.0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,3.66,0.0,0.0,0.0,38000.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,0.0,0.0,0.0,1.56,0.0,0.0,0,8100.0,0.0,532.0,0.0,22.2,0.0,0.0,0.0,0.0,152.0,0.0,10.3,0.0,0.0,487.0,0.0,13.2,0.0,0.0,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,49.2,0.0,2180.0,0.0,0.0,1.61,0.0,130.0,0.0,34.7,0.0,0.0,0.0,95.5,0.0,11.4,0.0,0.0,0.0,0.0,0.0
12,OREAS 100a,Borate / Peroxide Fusion ICP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.0,0.0,0.0,18.1,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,23.2,0.0,14.9,0.0,3.71,0.0,0.0,46600.0,0,0,0.0,0,0.0,0.0,0.0,0.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0,4.81,0.0,0.0,0.0,39400.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,2.26,0.0,0.0,0,8390.0,0.0,537.0,0.0,24.1,0.0,0.0,0.0,0.0,152.0,0.0,19.8,0.0,0.0,529.0,0.0,19.8,0.0,0.0,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,51.6,0.0,2390.0,0.0,0.0,2.31,0.0,135.0,0.0,36.7,0.0,0.0,0.0,142.0,0.0,14.9,0.0,0.0,0.0,0.0,0.0
13,OREAS 101a,4-Acid Digestion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1390.0,0.0,0.0,46.9,0.0,0.0,0.0,418.0,0.0,0.0,0.0,0.0,28.2,0.0,16.2,0.0,8.4,0.0,0.0,107000.0,0,0,0.0,0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,807.0,0.0,0.0,0.0,1.99,0.0,0.0,0,12000.0,0.0,977.0,0.0,20.4,0.0,0.0,0.0,0.0,397.0,0.0,8.14,0.0,0.0,1159.0,0.0,23.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,35.1,0.0,3530.0,0.0,0.0,2.12,0.0,410.0,0.0,77.0,0.0,0.0,0.0,135.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0
14,OREAS 101a,Borate / Peroxide Fusion ICP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1396.0,0.0,0.0,48.8,0.0,0.0,0.0,434.0,0.0,0.0,0.0,0.0,33.3,0.0,19.5,0.0,8.06,0.0,0.0,110600.0,0,0,0.0,0,0.0,0.0,0.0,0.0,43.4,0.0,0.0,0.0,0.0,0.0,0.0,6.46,0.0,0.0,0.0,23400.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0,0.0,0.0,0.0,2.66,0.0,0.0,0,12300.0,0.0,964.0,0.0,21.9,0.0,0.0,0.0,0.0,403.0,0.0,0.0,0.0,0.0,1268.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,48.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.92,0.0,0.0,36.6,0.0,3950.0,0.0,0.0,2.9,0.0,422.0,0.0,83.0,0.0,0.0,0.0,183.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0
15,OREAS 101b,4-Acid Digestion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325.0,0.0,0.0,45.0,0.0,0.0,0.0,412.0,0.0,0.0,0.0,0.0,27.0,0.0,15.0,0.0,8.1,0.0,0.0,107000.0,0,0,0.0,0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,23600.0,0.0,0.0,0.0,0.0,0.0,0.0,754.0,0.0,0.0,0.0,1.96,0.0,0.0,0,12300.0,0.0,927.0,0.0,20.1,0.0,0.0,0.0,0.0,388.0,0.0,8.2,0.0,0.0,1118.0,0.0,23.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,36.4,0.0,3500.0,0.0,0.0,2.08,0.0,387.0,0.0,77.0,0.0,0.0,0.0,133.0,0.0,13.9,0.0,0.0,0.0,0.0,0.0
16,OREAS 101b,Borate / Peroxide Fusion ICP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1331.0,0.0,0.0,47.0,0.0,0.0,0.0,416.0,0.0,0.0,0.0,0.0,32.1,0.0,18.7,0.0,7.77,0.0,0.0,108000.0,0,0,0.0,0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34,0.0,0.0,0.0,24200.0,0.0,0.0,0.0,0.0,0.0,0.0,789.0,0.0,0.0,0.0,2.58,0.0,0.0,0,12300.0,0.0,931.0,0.0,20.9,0.0,0.0,0.0,0.0,378.0,0.0,0.0,0.0,0.0,1197.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.37,0.0,0.0,37.1,0.0,3860.0,0.0,0.0,2.66,0.0,396.0,0.0,80.0,0.0,0.0,0.0,178.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0
17,OREAS 102a,4-Acid Digestion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0,0.0,0.0,38.9,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,12.9,0.0,7.4,0.0,3.84,0.0,0.0,56500.0,0,0,0.0,0,0.0,0.0,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,2.45,0.0,0.0,0.0,36400.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0,0.0,0.0,0.0,1.04,0.0,0.0,0,13100.0,0.0,448.0,0.0,13.6,0.0,0.0,0.0,0.0,180.0,0.0,14.2,0.0,0.0,563.0,0.0,14.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.0,0.0,38.5,0.0,1640.0,0.0,0.0,1.04,0.0,638.0,0.0,31.6,0.0,0.0,0.0,64.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0
18,OREAS 102a,Borate / Peroxide Fusion ICP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,0.0,0.0,41.0,0.0,0.0,0.0,289.0,0.0,0.0,0.0,0.0,18.1,0.0,11.1,0.0,3.89,0.0,0.0,57800.0,0,0,0.0,0,0.0,0.0,0.0,0.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,3.56,0.0,0.0,0.0,36300.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,0.0,0.0,0.0,1.7,0.0,0.0,0,13600.0,0.0,465.0,0.0,14.3,0.0,0.0,0.0,0.0,180.0,0.0,18.0,0.0,0.0,601.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,0.0,0.0,39.6,0.0,1720.0,0.0,0.0,1.64,0.0,662.0,0.0,35.0,0.0,0.0,0.0,105.0,0.0,10.9,0.0,0.0,0.0,0.0,0.0
19,OREAS 104,Borate / Peroxide Fusion ICP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.11,0.0,3.9,0.0,1.29,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,23900.0,0.0,0.0,0.0,0.0,0.0,0.0,48.8,0.0,0.0,0.0,0.48,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.57,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,0.0,0.0,0.0,0.0,0.0
